Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1970","1970","1000 persons","33222.324","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1970","1970","1000 persons","31010.162","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1970","1970","1000 persons","60108.795","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1970","1970","1000 persons","4938.975","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","65531.633","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1971","1971","1000 persons","33874.845","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1971","1971","1000 persons","31656.79","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1971","1971","1000 persons","61176.367","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1971","1971","1000 persons","5248.377","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","66625.705","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1972","1972","1000 persons","34418.352","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1972","1972","1000 persons","32207.354","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1972","1972","1000 persons","62039.948","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1972","1972","1000 persons","5557.522","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","67637.53","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1973","1973","1000 persons","34917.791","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1973","1973","1000 persons","32719.75","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1973","1973","1000 persons","62816.306","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1973","1973","1000 persons","5874.879","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","68742.233","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1974","1974","1000 persons","35465.701","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1974","1974","1000 persons","33276.521","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1974","1974","1000 persons","63570.753","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1974","1974","1000 persons","6313.667","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","70066.301","X","International reliable sources",""
